Model,Category,Task_ID,Test_Case,Original_Status,Error_Category,Reasoning
google_gemini-3.1-pro-preview,sensor_process,task_010_radar_velocity_estimation,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parse failed, so the file is missing entirely; any successful oracle status here is a false negative since the code cannot compile or run."
google_gemini-3.1-pro-preview,sensor_process,task_011_camera_lidar_fusion,test_namespace_full_compliance,FAILED,E2,"The generated code did not migrate the message types to the ROS 2 '::msg::' namespace, leaving legacy ROS 1 message references that would fail compilation."
google_gemini-3.1-pro-preview,sensor_process,task_011_camera_lidar_fusion,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error that the oracle incorrectly marked as SUCCESS."
openai_gpt-5.5,perception_control,task_001_color_blob_tracking,test_02_node_spin_and_image_subscription_pipeline,FAILED,A1,"No code was generated or parsing failed, so the file lacks any ROS 2 node construction patterns, causing the test to fail on missing required syntax."
openai_gpt-5.5,perception_control,task_001_color_blob_tracking,test_05_rgb_triplet_check_present,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error preventing any compilation or execution."
openai_gpt-5.5,perception_control,task_001_color_blob_tracking,test_07_stop_and_motion_semantics_without_literal_numbers,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error causing all pattern-matching tests to fail."
openai_gpt-5.5,perception_control,task_001_color_blob_tracking,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty (parse failed/no code), which would fail compilation entirely, but the oracle reported SUCCESS, missing this critical hard error."
openai_gpt-5.5,perception_control,task_002_camera_depth_reach_target,OVERALL_CODE_CHECK,SUCCESS,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which cannot possibly satisfy any of the oracle's pattern-matching tests, indicating the oracle status of SUCCESS is a false negative."
openai_gpt-5.5,perception_control,task_003_multi_node_perception_control,test_ds4_enum_mapping_present_and_used,FAILED,E2,"No code was generated, so the file is missing entirely, which is a critical hard error preventing any functionality."
openai_gpt-5.5,perception_control,task_003_multi_node_perception_control,test_l1_toggle_semantics_fidelity,FAILED,A1,"No code was generated or parsing failed, so the C++ file is missing entirely, causing all pattern-based tests to fail."
openai_gpt-5.5,perception_control,task_003_multi_node_perception_control,test_axis_scaling_and_publish_gating_fidelity,FAILED,E2,"No code was generated or parsed, so all tests including this one fail due to missing implementation, which is a critical hard error."
openai_gpt-5.5,perception_control,task_003_multi_node_perception_control,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that the oracle failed to catch as SUCCESS."
openai_gpt-5.5,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_ros2_lifecycle_and_node_creation,FAILED,A1,"No code was generated or parsing failed, so the required rclpy.spin() call (and all other code) is absent, causing the test to fail."
openai_gpt-5.5,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_ros2_timer_rate_and_publish,FAILED,A1,"No code was generated or parsing failed, so the file does not exist and cannot contain the required create_timer pattern."
openai_gpt-5.5,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_partitions_ranges_by_slicing,FAILED,A1,"No code was generated or parsing failed, so the test cannot find the required slicing pattern."
openai_gpt-5.5,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_identifyregions_filtering_strategy,FAILED,A1,"No code was generated or parsing failed, so the file does not exist and all pattern-based tests fail by default."
openai_gpt-5.5,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_decision_uses_signed_cost_table_and_abs_cost,FAILED,E2,"No code was generated or parsing failed, so the test could not find the required Regions_Distances pattern, indicating a critical failure in code generation."
openai_gpt-5.5,perception_control,task_004_mobile_lidar_obstacle_avoidance,test_control_laws_and_modes_match_reference_semantics,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error preventing any functional ROS 2 migration."
openai_gpt-5.5,perception_control,task_004_mobile_lidar_obstacle_avoidance,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that should have failed all tests, but the oracle reported SUCCESS."
openai_gpt-5.5,perception_control,task_005_ORBBEC,test_frameset_forwards_non_color_streams_through_common_handler,FAILED,A1,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), meaning no code was produced to satisfy any test patterns, including the IMAGE_STREAMS iteration check."
openai_gpt-5.5,perception_control,task_005_ORBBEC,test_color_thread_consumes_fifo_and_processes_in_pipeline_order,FAILED,E2,"The generated code is empty (NO CODE GENERATED OR PARSE FAILED), which is a critical hard error preventing any compilation or execution."
openai_gpt-5.5,perception_control,task_005_ORBBEC,test_single_frame_supports_flip_branch_and_depth_scaling_hook,FAILED,A1,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), so no code exists to satisfy the test requirements, which is a fundamental compilation/parse failure."
openai_gpt-5.5,perception_control,task_005_ORBBEC,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error, yet the oracle status is marked SUCCESS."
openai_gpt-5.5,perception_control,task_006_3d_sensor_moveit_arm_control,test_4_async_fallback_mastery,FAILED,C3,"The generated place_object function does not implement the required async/await fallback pattern with arm_torso group retry and result return, indicating a semantic/behavioral gap in the migration."
openai_gpt-5.5,perception_control,task_006_3d_sensor_moveit_arm_control,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, so the source file is empty/missing, which should cause failures but the oracle reportedly succeeded—indicating a missed hard error."
openai_gpt-5.5,perception_control,task_007_autonomous_navigation,OVERALL_CODE_CHECK,SUCCESS,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which would obviously fail compilation/runtime, but the oracle tests passed because regex searches on empty source still found no required patterns—wait, actually empty source should fail assertions. However the status reports SUCCESS, indicating the oracle missed this critical hard error."
openai_gpt-5.5,perception_control,task_008_limo_robot,test_ackermann_inverse_kinematics,FAILED,A1,"No code was generated or parsing failed, so the source file is empty and all functional checks fail."
openai_gpt-5.5,perception_control,task_008_limo_robot,test_steering_limit_clamping,FAILED,A1,"No code was generated or parsing failed, resulting in an empty source file that cannot satisfy any test assertions."
openai_gpt-5.5,perception_control,task_008_limo_robot,test_odom_integration_frames,FAILED,A1,"No code was generated or parsing failed, so the function body is empty and all regex-based assertions fail."
openai_gpt-5.5,perception_control,task_008_limo_robot,test_mecanum_lateral_awareness,FAILED,A1,"No code was generated or parsing failed, so the function body is empty and all content-based assertions fail."
openai_gpt-5.5,perception_control,task_008_limo_robot,test_time_differential_consistency,FAILED,E1,"The regex only captured a partial function body due to brace-matching limitations, missing the actual dt-scaled integration logic later in the function, causing a false positive style/format mismatch."
openai_gpt-5.5,perception_control,task_008_limo_robot,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parse failed, meaning the source file does not exist, yet the oracle reported SUCCESS—a clear missed hard error."
openai_gpt-5.5,perception_control,task_009_stretch_pipeline,test_depth_unit_scaling,FAILED,E2,"No code was generated or parsing failed, which is a critical hard error preventing any functionality."
openai_gpt-5.5,perception_control,task_009_stretch_pipeline,test_pinhole_projection_logic,FAILED,E2,"No code was generated, so all tests fail trivially due to missing source rather than a specific logic error."
openai_gpt-5.5,perception_control,task_009_stretch_pipeline,test_ray_plane_analytical_solution,FAILED,A1,"No code was generated or parsing failed, so all source-content assertions inevitably fail."
openai_gpt-5.5,perception_control,task_009_stretch_pipeline,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated, which is a critical hard error that should fail all tests, but the oracle reported SUCCESS."
openai_gpt-5.5,state_machine,task_001_smach_basic,test_userdata_request_mapping,FAILED,C3,"The generated code is missing the userdata-to-request slot mapping logic (setattr on self._request with userdata keys), representing a semantic omission during migration."
openai_gpt-5.5,state_machine,task_001_smach_basic,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"No code was generated or parsing failed, so the file cannot exist and all tests should fail; the oracle status of SUCCESS is incorrect."
openai_gpt-5.5,state_machine,task_002_mas_execution_manager,test_topic_and_msg_integrity,FAILED,C3,"The generated code's subscription does not use ActionFeedback message type on the /kcl_rosplan/action_feedback topic, indicating a semantic error where the original topic/message logic was not preserved."
openai_gpt-5.5,state_machine,task_002_mas_execution_manager,test_interface_params_retention,FAILED,C3,"The generated code failed to preserve the original data flow by not passing the url and prefix parameters to the DomesticOntologyInterface constructor, representing a semantic/behavioral error in migration."
openai_gpt-5.5,state_machine,task_002_mas_execution_manager,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error, yet the oracle reported SUCCESS."
openai_gpt-5.5,state_machine,task_003_tutorial_baseline,test_service_future_logic,FAILED,C3,"The generated code uses call_async but is missing spin_until_future_complete to properly handle the service future completion, resulting in incorrect async service call semantics."
openai_gpt-5.5,state_machine,task_003_tutorial_baseline,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty or failed to parse, which is a critical hard error, yet the oracle reported SUCCESS."
openai_gpt-5.5,state_machine,task_004_ros_task_manage,test_introspection_node_handle,FAILED,B2,"The generated code instantiates IntrospectionServer without passing the required self.node handle, using the ROS 1-style API signature instead of the ROS 2 API."
openai_gpt-5.5,state_machine,task_004_ros_task_manage,test_strict_style_no_hints,FAILED,E1,"The regex matched a multi-line dictionary value where 'int' appears after a colon and newline (likely a dict key like 'max_duration': \n int(...)), which is a function call argument, not a type hint—this is a false positive due to rigid style checking."
openai_gpt-5.5,state_machine,task_004_ros_task_manage,OVERALL_HIDDEN_ERROR_CHECK,FAILED,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which is a critical hard error that the oracle marked as SUCCESS."
openai_gpt-5.5,state_machine,task_005_flexbe_behavior_engine,OVERALL_CODE_CHECK,SUCCESS,E2,"The generated code is empty ('NO CODE GENERATED OR PARSE FAILED'), which would cause the test fixture to fail on file open, indicating a critical hard error that the oracle status incorrectly reported as SUCCESS."
